iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
87,00%;408;s;Pohádky z mechu a kapradí;1968;Československo;Animovaný / Pohádka;Zdeněk Smetana;Jiřina Bohdalová;
87,00%;412;m;Monterey Pop;1968;USA;Hudební / Dokumentární;D.A. Pennebaker;Scott McKenzie, Art Garfunkel;
86,90%;425;s;The Bugs Bunny/Road Runner Hour;1968;USA;Animovaný / Rodinný;Maurice Noble, Friz Freleng;Mel Blanc, Daws Butler;
86,30%;515;s;Sňatky z rozumu;1968;Československo;Drama / Historický;František Filip;Jiří Vala, Slávka Budínová;
85,90%;580;m;Všichni dobří rodáci;1968;Československo;Drama;Vojtěch Jasný;Vlastimil Brodský, Radoslav Brzobohatý;
85,30%;704;m;Nebeští jezdci;1968;Československo;Válečný / Drama;Jindřich Polák;Jiří Bednář, Jiří Hrzán;
84,70%;897;m;Planeta opic;1968;USA;Sci-Fi / Dobrodružný;Franklin J. Schaffner;Charlton Heston, Roddy McDowall;
84,70%;898;m;Romeo a Julie;1968;Velká Británie / Itálie;Drama / Romantický;Franco Zeffirelli;Leonard Whiting, Olivia Hussey;
84,20%;1088;m;Srdce je osamělý lovec;1968;USA;Drama;Robert Ellis Miller;Alan Arkin, Chuck McCann;
83,90%;1190;m;Byt;1968;Československo;Animovaný / Krátkometrážní;Jan Švankmajer;Ivan Kraus, Juraj Herz;
83,50%;1311;s;Odkaz budoucnosti aneb Podivuhodná dobrodružství rodiny Smolíkovy;1968;Maďarsko;Animovaný / Sci-Fi;József Nepp;Endre Harkányi, Ilona Győri;
83,30%;1373;m;Šíleně smutná princezna;1968;Československo;Pohádka / Hudební;Bořivoj Zeman;Helena Vondráčková, Václav Neckář;
82,90%;1506;m;Hanba;1968;Švédsko;Drama / Válečný;Ingmar Bergman;Liv Ullmann, Max von Sydow;
82,80%;1544;m;Asterix a Kleopatra;1968;Francie / Belgie;Animovaný / Dobrodružný;René Goscinny, Albert Uderzo;Roger Carel, Pierre Tornade;
82,50%;1639;m;Rosemary má děťátko;1968;USA;Horor / Thriller;Roman Polański;Mia Farrow, John Cassavetes;
82,20%;1733;m;Kam orli nelétají;1968;Velká Británie / USA;Akční / Dobrodružný;Brian G. Hutton;Richard Burton, Clint Eastwood;
81,60%;1894;m;Žlutá ponorka;1968;Velká Británie / USA;Animovaný / Fantasy;George Dunning;John Lennon, Paul McCartney;
79,30%;2088;m;Farářův konec;1968;Československo;Podobenství / Drama;Evald Schorm;Vlastimil Brodský, Jan Libíček;
78,80%;2133;m;Čest a sláva;1968;Československo;Historický / Drama;Hynek Bočan;Rudolf Hrušínský, Blanka Bohdanová;
78,60%;2153;m;Žert;1968;Československo;Drama / Komedie;Jaromil Jireš;Josef Somr, Jana Dítětová;
77,40%;2262;m;Nejlepší ženská mého života;1968;Československo;Komedie;Martin Frič;Jiří Sovák, Milena Dvorská;
76,80%;2313;m;Vánoce s Alžbětou;1968;Československo;Drama;Karel Kachyňa;Vlado Müller, Pavla Kárníková;
87,00%;409;m;Frajer Luke;1967;USA;Drama / Krimi;Stuart Rosenberg;Paul Newman, George Kennedy;
85,20%;736;m;Absolvent;1967;USA;Drama / Komedie;Mike Nichols;Anne Bancroft, Dustin Hoffman;
85,10%;764;m;Vzpoura;1967;Japonsko;Drama;Masaki Kobajaši;Toširó Mifune, Jóko Cukasa;
85,00%;796;m;Happy end;1967;Československo;Komedie / Experimentální;Oldřich Lipský;Vladimír Menšík, Jaroslava Obermaierová;
84,80%;855;m;Vojna a mír III: Rok 1812;1967;Sovětský svaz;Drama / Válečný;Sergej Bondarčuk;Sergej Bondarčuk, Vjačeslav Tichonov;
84,70%;899;m;Hoří, má panenko;1967;Československo / Itálie;Komedie;Miloš Forman;Jan Vostrčil, Josef Šebánek;
84,50%;979;m;Údolí včel;1967;Československo;Drama / Historický;František Vláčil;Petr Čepek, Jan Kačer;
84,50%;980;m;Čekej do tmy;1967;USA;Horor / Thriller;Terence Young;Audrey Hepburn, Alan Arkin;
84,50%;981;m;Hádej, kdo přijde na večeři;1967;USA;Komedie / Drama;Stanley Kramer;Spencer Tracy, Sidney Poitier;
84,50%;982;m;Vojna a mír IV: Pierre Bezuchov;1967;Sovětský svaz;Drama;Sergej Bondarčuk;Sergej Bondarčuk, Vjačeslav Tichonov;
84,20%;1089;m;Panu učiteli s láskou;1967;Velká Británie;Drama;James Clavell;Sidney Poitier, Faith Brook;
84,20%;1090;m;Kinoautomat: Člověk a jeho dům;1967;Československo;Komedie / Experimentální;Radúz Činčera, Ján Roháč;Miroslav Horníček, Karla Chadimová;
83,90%;1191;m;Chladnokrevně;1967;USA;Krimi / Drama;Richard Brooks;Robert Blake, Scott Wilson;
83,70%;1248;st;Svatební noc;1967;Československo;Krátkometrážní / Komedie;Vlastimil Venclík;Regina Rázlová, Petr Štěpánek;
83,20%;1393;m;V žáru noci;1967;USA;Krimi / Drama;Norman Jewison;Sidney Poitier, Rod Steiger;Oscar
83,10%;1430;m;Hombre;1967;USA;Western / Drama;Martin Ritt;Paul Newman, Fredric March;
82,60%;1610;m;Bosé nohy v parku;1967;USA;Komedie / Romantický;Gene Saks;Robert Redford, Jane Fonda;
82,30%;1699;m;Zkrocení zlé ženy;1967;Itálie / USA;Komedie / Drama;Franco Zeffirelli;Elizabeth Taylor, Richard Burton;
82,30%;1700;m;Sametka;1967;Československo;Animovaný / Krátkometrážní;Zdeněk Miler;;
81,70%;1862;m;Marketa Lazarová;1967;Československo;Poetický / Drama;František Vláčil;Magda Vášáryová, Zdeněk Štěpánek;
81,70%;1863;m;Tucet špinavců;1967;Velká Británie / USA;Akční / Válečný;Robert Aldrich;Lee Marvin, Ernest Borgnine;
81,40%;1923;m;Svatba jako řemen;1967;Československo;Komedie;Jiří Krejčík;Iva Janžurová, Vladimír Pucholt;
80,70%;1969;m;Slavík a růže;1967;Československo;Animovaný / Krátkometrážní;Josef Kábrt;Eduard Cupák;
80,70%;1978;m;Neohlížej se;1967;USA;Dokumentární / Hudební;D.A. Pennebaker;Bob Dylan, Joan Baez;
78,60%;2154;m;Konec agenta W4C prostřednictvím psa pana Foustky;1967;Československo;Komedie;Václav Vorlíček;Květa Fialová, Jiří Sovák;
78,00%;2212;m;Rozmarné léto;1967;Československo;Komedie / Poetický;Jiří Menzel;Rudolf Hrušínský, Vlastimil Brodský;
76,00%;2368;m;Noc nevěsty;1967;Československo;Drama;Karel Kachyňa;Jana Brejchová, Mnislav Hofmann;
90,00%;145;m;Hodný, zlý a ošklivý;1966;Itálie / USA;Western;Sergio Leone;Clint Eastwood, Eli Wallach;
89,50%;179;s;The Road Runner Show;1966;USA;Animovaný / Rodinný;Friz Freleng, Rudy Larriva;Mel Blanc, June Foray;
89,00%;210;m;Krtek a raketa;1966;Československo;Animovaný / Rodinný;Zdeněk Miler;;
85,20%;737;m;Velký flám;1966;Francie / Velká Británie;Komedie / Válečný;Gérard Oury;Bourvil, Louis de Funès;
84,70%;900;m;Andrej Rublev;1966;Sovětský svaz;Drama / Životopisný;Andrej Tarkovskij;Anatolij Solonicyn, Nikolaj Griňko;
84,50%;983;m;Ukradená vzducholoď;1966;Československo;Dobrodružný / Fantasy;Karel Zeman;Michal Pospíšil, Hanuš Bor;
84,20%;1091;m;Jak ukrást Venuši;1966;USA;Komedie / Krimi;William Wyler;Audrey Hepburn, Peter O'Toole;
84,10%;1126;m;Kdo se bojí Virginie Woolfové?;1966;USA;Drama / Psychologický;Mike Nichols;Elizabeth Taylor, Richard Burton;
83,70%;1249;m;Volání divočiny;1966;Velká Británie / USA;Rodinný / Drama;James Hill, Tom McGowan;Virginia McKenna, Bill Travers;
83,20%;1394;m;Kočár do Vídně;1966;Československo;Drama / Válečný;Karel Kachyňa;Iva Janžurová, Jaromír Hanzlík;
83,20%;1395;m;Persona;1966;Švédsko;Drama / Psychologický;Ingmar Bergman;Bibi Andersson, Liv Ullmann;
83,20%;1396;m;Bitva o Alžír;1966;Itálie / Alžírsko;Drama / Válečný;Gillo Pontecorvo;Jean Martin, Brahim Hadjadj;
83,10%;1431;m;Vojna a mír II: Nataša Rostovová;1966;Sovětský svaz;Drama;Sergej Bondarčuk;Ljudmila Saveljeva, Sergej Bondarčuk;
83,00%;1467;m;Voda čerstvosti;1966;Československo;Animovaný / Krátkometrážní;Zdeněk Smetana;Stanislav Neumann;
82,80%;1545;m;Grand Prix;1966;USA;Drama / Sportovní;John Frankenheimer;James Garner, Eva Marie Saint;
82,50%;1640;m;Ostře sledované vlaky;1966;Československo;Komedie / Drama;Jiří Menzel;Václav Neckář, Josef Somr;Oscar
82,30%;1701;s;Pohádky ovčí babičky;1966;Československo;Animovaný / Pohádka;Václav Bedřich;Jiřina Bohdalová;
82,20%;1734;m;Vrah skrývá tvář;1966;Československo;Krimi / Drama;Petr Schulhoff;Rudolf Hrušínský, Radoslav Brzobohatý;
82,10%;1759;m;El Dorado;1966;USA;Western;Howard Hawks;John Wayne, Robert Mitchum;
80,80%;1960;m;O slavnosti a hostech;1966;Československo;Podobenství;Jan Němec;Helena Pejšková, Jana Prachařová;
80,10%;2026;m;Kdo chce zabít Jessii?;1966;Československo;Komedie / Sci-Fi;Václav Vorlíček;Dana Medřická, Jiří Sovák;
78,50%;2163;m;Majster kat;1966;Československo;Drama / Historický;Paľo Bielik;Vlado Müller, Štefan Kvietik;
78,40%;2173;m;Romance pro křídlovku;1966;Československo;Drama / Romantický;Otakar Vávra;Jaromír Hanzlík, Július Vašek;
78,00%;2213;m;Do lesíčka na čekanou;1966;Československo;Animovaný / Krátkometrážní;Jiří Brdečka;;
77,60%;2247;m;Návrat ztraceného syna;1966;Československo;Drama / Psychologický;Evald Schorm;Jan Kačer, Jana Brejchová;
77,10%;2280;m;Fantom Morrisvillu;1966;Československo;Komedie / Hudební;Bořivoj Zeman;Oldřich Nový, Jaroslav Marvan;
75,80%;2383;m;Lidé z maringotek;1966;Československo;Drama;Martin Frič;Jozef Kroner, Jan Tříska;
70,80%;2546;st;Čekají na Godota;1966;Československo;Krátkometrážní / Drama;Juraj Jakubisko;M. Richtrová, Zdeněk Vinš;
92,20%;58;m;Ruka;1965;Československo;Krátkometrážní / Animovaný;Jiří Trnka;;
91,90%;68;m;The Beatles at Shea Stadium;1965;Velká Británie;Dokumentární / Hudební;Ringo Starr, John Lennon;;
86,70%;452;m;Obchod na korze;1965;Československo;Drama / Válečný;Ján Kadár, Elmar Klos;Ida Kamińska, Jozef Kroner;Oscar
86,50%;483;m;Pro pár dolarů navíc;1965;Itálie / Španělsko;Western;Sergio Leone;Clint Eastwood, Lee Van Cleef;
85,30%;705;m;Vojna a mír;1965;Sovětský svaz;Drama / Válečný;Sergej Bondarčuk;Vjačeslav Tichonov, Sergej Bondarčuk;
85,20%;738;s;Pojďte pane, budeme si hrát;1965;Československo;Animovaný / Komedie;Břetislav Pojar, Miroslav Štěpánek;Rudolf Deyl ml., František Filipovský;
85,10%;765;m;Jak si opatřit hodné dítě;1965;Československo;Animovaný / Krátkometrážní;Stanislav Látal, Miloš Macourek;Ivan Vyskočil;
85,00%;797;m;Pahorek;1965;Velká Británie;Drama / Válečný;Sidney Lumet;Sean Connery, Harry Andrews;
84,80%;856;m;Ve službách papeže;1965;USA / Itálie;Drama / Historický;Carol Reed;Charlton Heston, Rex Harrison;
84,70%;901;m;Rudovous;1965;Japonsko;Drama;Akira Kurosawa;Toširó Mifune, Júzó Kajama;
84,50%;984;m;Za zvuků hudby;1965;USA;Muzikál / Rodinný;Robert Wise;Julie Andrews, Christopher Plummer;Oscar
84,30%;1053;m;Laurel a Hardy;1965;USA;Komedie / Rodinný;Robert Youngson;Jay Jackson, Oliver Hardy;
84,20%;1092;m;Doktor Živago;1965;Velká Británie / USA;Drama / Romantický;David Lean;Omar Sharif, Julie Christie;
83,20%;1397;m;Vinnetou - Poslední výstřel;1965;Západní Německo / Itálie;Western / Dobrodružný;Harald Reinl;Lex Barker, Pierre Brice;
83,00%;1468;m;Fantomas se zlobí;1965;Francie / Itálie;Komedie / Dobrodružný;André Hunebelle, Haroun Tazieff;Jean Marais, Louis de Funès;
83,00%;1469;m;Lásky jedné plavovlásky;1965;Československo;Romantický / Komedie;Miloš Forman;Hana Brejchová, Vladimír Pucholt;
82,90%;1507;m;Bílá paní;1965;Československo;Komedie;Zdeněk Podskalský st.;Vlastimil Brodský, Rudolf Hrušínský;
82,80%;1546;m;Vojna a mír I: Andrej Bolkonskij;1965;Sovětský svaz;Drama / Válečný;Sergej Bondarčuk;Ljudmila Saveljeva, Sergej Bondarčuk;
82,00%;1792;m;Otýlie a 1580 kaněk;1965;Československo;Animovaný / Krátkometrážní;Stanislav Látal, Miloš Macourek;Karel Höger;
80,70%;1970;m;Úkryt Černého Billa;1965;Československo;Animovaný / Loutkový;Josef Kluge;Jan Tříska;
80,50%;1995;m;Intimní osvětlení;1965;Československo;Komedie / Drama;Ivan Passer;Karel Blažek, Zdeněk Bezušek;
80,50%;1996;m;Ať žije republika;1965;Československo;Drama / Válečný;Karel Kachyňa;Zdeněk Lstibůrek, Naděžda Gajerová;
79,20%;2099;m;Kým sa skončí táto noc;1965;Československo;Psychologický / Drama;Peter Solan;Jana Gýrová, Jitka Zelenohorská;
78,40%;2174;m;Nikdo se nebude smát;1965;Československo;Drama / Komedie;Hynek Bočan;Jan Kačer, Štěpánka Řeháková;
78,20%;2192;m;Sběrné surovosti;1965;Československo;Krátkometrážní / Komedie;Juraj Herz;Václav Halama, František Ketzek;
77,70%;2235;m;Zvony pre bosých;1965;Československo;Drama / Válečný;Stanislav Barabáš;Ewa Krzyżewska, Vlado Müller;
76,90%;2303;m;Náměstí svaté Alžběty;1965;Československo;Drama / Válečný;Vladimír Bahna;Emília Vášáryová, Bronislav Križan;
86,00%;567;m;Limonádový Joe aneb Koňská opera;1964;Československo;Komedie / Muzikál;Oldřich Lipský;Karel Fiala, Miloš Kopecký;
85,70%;620;m;Četník ze Saint Tropez;1964;Francie / Itálie;Komedie / Krimi;Jean Girault;Louis de Funès, Geneviève Grad;
85,40%;681;m;Písečná žena;1964;Japonsko;Drama / Thriller;Hiroši Tešigahara;Eidži Okada, Kjóko Kišida;
85,30%;706;m;Atentát;1964;Československo;Drama / Válečný;Jiří Sequens st.;Radoslav Brzobohatý, Rudolf Jelínek;
85,20%;739;m;My Fair Lady;1964;USA;Komedie / Drama;George Cukor;Audrey Hepburn, Rex Harrison;Oscar
85,00%;798;m;Selhání vyloučeno;1964;USA;Drama / Thriller;Sidney Lumet;Dan O'Herlihy, Walter Matthau;
84,80%;857;m;Fantomas;1964;Francie / Itálie;Komedie / Krimi;André Hunebelle;Jean Marais, Louis de Funès;
84,20%;1093;m;Dr. Divnoláska aneb Jak jsem se naučil nedělat si starosti a mít rád bombu;1964;USA / Velká Británie;Komedie / Válečný;Stanley Kubrick;Peter Sellers, George C. Scott;
83,70%;1250;m;Goldfinger;1964;Velká Británie;Akční / Dobrodružný;Guy Hamilton;Sean Connery, Gert Fröbe;
83,50%;1312;m;Pro hrst dolarů;1964;Itálie / Španělsko;Western / Akční;Sergio Leone;Clint Eastwood, Marianne Koch;
82,90%;1508;m;Perný den;1964;Velká Británie;Komedie / Hudební;Richard Lester;John Lennon, Paul McCartney;
82,90%;1509;m;Loupežnická pohádka;1964;Československo;Animovaný / Krátkometrážní;Eduard Hofman;Karel Höger;
82,30%;1702;m;Méďa Béďa;1964;USA;Animovaný / Dobrodružný;William Hanna, Joseph Barbera;Daws Butler, Mel Blanc;
82,30%;1703;s;Rodina Addamsova;1964;USA;Komedie / Rodinný;Jerry Hopper, Sidney Lanfield;Carolyn Jones, John Astin;
82,20%;1735;m;Onibaba;1964;Japonsko;Drama / Horor;Kaneto Šindó;Nobuko Otowa, Džicuko Jošimura;
81,60%;1895;m;Stíny zapomenutých předků;1964;Sovětský svaz / Ukrajina;Drama / Romantický;Sergej Paradžanov;Ivan Mykolajčuk, Igor Dzjura;
80,00%;2038;m;Starci na chmelu;1964;Československo;Komedie / Drama;Ladislav Rychman;Vladimír Pucholt, Ivana Pavlová;
79,90%;2048;m;Dobrodružství s nahým klukem;1964;Československo;Krátkometrážní / Komedie;Jan Moravec;Vladimír Zátka, Ivo Palec;
79,80%;2054;m;Obžalovaný;1964;Československo;Drama / Psychologický;Ján Kadár, Elmar Klos;Vlado Müller, Zora Jiráková;
79,60%;2067;m;Čintamani & podvodník;1964;Československo;Komedie / Povídkový;Jiří Krejčík;Vladimír Šmeral, Olga Scheinpflugová;
79,00%;2112;m;Bláznova kronika;1964;Československo;Dobrodružný / Komedie;Karel Zeman;Petr Kostka, Miloslav Holub;
78,90%;2123;st;Fuga na černých klávesách;1964;Československo;Krátkometrážní / Drama;Drahomíra Vihanová;Karel Höger, Julian Diaz;
77,90%;2223;m;Fádní odpoledne;1964;Československo;Krátkometrážní / Drama;Ivan Passer;Jan Tožička, Kamila Turková;
76,10%;2365;m;Démanty noci;1964;Československo;Drama / Psychologický;Jan Němec;Ladislav Janský, Antonín Kumbera;
75,50%;2397;m;Kdyby tisíc klarinetů;1964;Československo;Muzikál / Komedie;Ján Roháč, Vladimír Svitáček;Waldemar Matuška, Jana Brejchová;
73,40%;2478;st;Firelight;1964;USA;Sci-Fi / Thriller;Steven Spielberg;;
70,80%;2547;st;It's Not Just You, Murray!;1964;USA;Krátkometrážní / Komedie;Martin Scorsese;Catherine Scorsese, Andrea Martin;
92,60%;45;m;Krtek a autíčko;1963;Československo;Krátkometrážní / Animovaný;Zdeněk Miler;;
85,60%;637;m;Velký útěk;1963;USA;Dobrodružný / Drama;John Sturges;Steve McQueen, James Garner;
85,30%;707;m;Nebe a peklo;1963;Japonsko;Thriller / Krimi;Akira Kurosawa;Toširó Mifune, Tacuja Nakadai;
84,90%;823;m;Vinnetou;1963;Západní Německo / Jugoslávie;Western / Dobrodružný;Harald Reinl;Lex Barker, Pierre Brice;
84,70%;902;m;Špatně namalovaná slepice;1963;Československo;Animovaný / Krátkometrážní;Jiří Brdečka;Jaroslav Mareš, Antonín Jedlička;
84,00%;1164;m;Smrt si říká Engelchen;1963;Československo;Drama / Válečný;Ján Kadár, Elmar Klos;Jan Kačer, Eva Poláková;
83,30%;1374;m;Černý Petr;1963;Československo;Komedie / Drama;Miloš Forman;Ladislav Jakim, Pavla Novotná;
83,30%;1375;s;Doctor Who;1963;Velká Británie;Sci-Fi / Dobrodružný;Douglas Camfield, Peter Moffatt;William Hartnell, Tom Baker;
83,00%;1470;m;Šaráda;1963;USA;Mysteriózní / Krimi;Stanley Donen;Cary Grant, Audrey Hepburn;
82,90%;1510;m;Doktorská pohádka;1963;Československo;Animovaný / Krátkometrážní;Eduard Hofman;Karel Höger;
82,80%;1547;m;Hosté večeře Páně;1963;Švédsko;Drama;Ingmar Bergman;Gunnar Björnstrand, Ingrid Thulin;
82,60%;1611;m;Postava k podpírání;1963;Československo;Drama / Podobenství;Pavel Juráček, Jan Schmidt;Karel Vašíček, Consuela Morávková;
82,10%;1760;m;Jánošík;1963;Československo;Dobrodružný / Drama;Paľo Bielik;František Kuchta, Ctibor Filčík;
81,70%;1864;m;Kleopatra;1963;Velká Británie / USA;Drama / Romantický;Joseph L. Mankiewicz, Rouben Mamoulian;Elizabeth Taylor, Richard Burton;
81,50%;1908;m;Naděje;1963;Československo;Drama;Karel Kachyňa;Hana Hegerová, Rudolf Hrušínský;
78,40%;2175;m;Ikarie XB 1;1963;Československo;Sci-Fi / Drama;Jindřich Polák;Zdeněk Štěpánek, Radovan Lukavský;
77,60%;2248;st;I. třída;1963;Československo;Krátkometrážní / Rodinný;Radim Cvrček, Juraj Jakubisko;Ivanka Devátá, František Ocman;
85,40%;682;m;Divotvůrkyně;1962;USA;Drama / Životopisný;Arthur Penn;Anne Bancroft, Victor Jory;
85,30%;708;m;Poklad na Stříbrném jezeře;1962;Západní Německo / Jugoslávie;Dobrodružný / Western;Harald Reinl;Lex Barker, Pierre Brice;
85,00%;799;m;Harakiri;1962;Japonsko;Akční / Drama;Masaki Kobajaši;Tacuja Nakadai, Rentaró Mikuni;
84,80%;858;s;Zadáno pro Alfreda Hitchcocka;1962;USA;Krimi / Drama;Alf Kjellin, Joseph M. Newman;Alfred Hitchcock, Gary Merrill;
84,60%;946;m;Lawrence z Arábie;1962;Velká Británie;Dobrodružný / Válečný;David Lean;Peter O'Toole, Alec Guinness;Oscar
84,50%;985;m;Knoflíková válka;1962;Francie;Komedie / Rodinný;Yves Robert;Jacques Dufilho, Yvette Etiévant;
84,50%;986;m;Nejdelší den;1962;USA;Válečný / Akční;Ken Annakin, Andrew Marton;Eddie Albert, Paul Anka;
84,40%;1014;m;Sanjuro;1962;Japonsko;Akční / Dobrodružný;Akira Kurosawa;Toširó Mifune, Tacuja Nakadai;
83,90%;1192;m;Boxer a smrť;1962;Československo;Drama / Sportovní;Peter Solan;Štefan Kvietik, Valentina Thielová;
83,70%;1251;m;Jako zabít ptáčka;1962;USA;Drama;Robert Mulligan;Gregory Peck, Mary Badham;
83,70%;1252;m;Polnočná omša;1962;Československo;Drama / Psychologický;Jiří Krejčík;Ján Klimo, Hana Meličková;
83,50%;1313;m;Co se vlastně stalo s Baby Jane?;1962;USA;Drama / Horor;Robert Aldrich;Bette Davis, Joan Crawford;
83,20%;1398;m;Dny vína a růží;1962;USA;Romantický / Drama;Blake Edwards;Jack Lemmon, Lee Remick;
82,40%;1667;m;Anděl zkázy;1962;Mexiko;Komedie / Drama;Luis Buñuel;Silvia Pinal, Jacqueline Andere;
78,00%;2214;m;Slunce v síti;1962;Československo;Drama;Štefan Uher;Marián Bielik, Jana Beláková;
76,40%;2340;m;Kybernetická babička;1962;Československo;Animovaný / Loutkový;Jiří Trnka;Otylie Beníšková, Jana Werichová-Kvapilová;
87,40%;361;m;O nejbohatším vrabci na světě;1961;Československo;Animovaný / Krátkometrážní;Zdeněk Miler;;
85,30%;709;m;Norimberský proces;1961;USA;Drama / Historický;Stanley Kramer;Spencer Tracy, Burt Lancaster;
84,80%;859;m;Plivník dlaždiče Housky;1961;Československo;Animovaný / Loutkový;Stanislav Látal;Rudolf Deyl ml.;
84,60%;947;m;Baron Prášil;1961;Československo;Dobrodružný / Fantasy;Karel Zeman;Miloš Kopecký, Jana Brejchová;
84,40%;1015;m;Yojimbo;1961;Japonsko;Drama / Akční;Akira Kurosawa;Toširó Mifune, Tacuja Nakadai;
83,60%;1277;m;Raz, dva, tři;1961;USA;Komedie;Billy Wilder;James Cagney, Horst Buchholz;
83,40%;1342;m;Ďáblova past;1961;Československo;Drama;František Vláčil;Miroslav Macháček, Vítězslav Vejražka;
82,30%;1704;m;Viridiana;1961;Mexiko / Španělsko;Drama;Luis Buñuel;Silvia Pinal, Francisco Rabal;
82,10%;1761;m;Tři mušketýři: Královniny přívěsky;1961;Francie / Itálie;Dobrodružný / Romantický;Bernard Borderie;Gérard Barray, Mylène Demongeot;
81,80%;1847;m;West Side Story;1961;USA;Muzikál / Romantický;Robert Wise, Jerome Robbins;Natalie Wood, Richard Beymer;Oscar
78,90%;2124;st;Černobílá Sylva;1961;Československo;Krátkometrážní / Komedie;Jan Schmidt;Zuzana Stivínová, Václav Sloup;
78,80%;2134;m;Pošťácká pohádka;1961;Československo;Animovaný / Krátkometrážní;Eduard Hofman;Karel Höger;
77,30%;2270;m;Pieseň o sivom holubovi;1961;Československo;Drama / Válečný;Stanislav Barabáš;Karol Machata, Ladislav Chudík;
72,90%;2492;st;Turista;1961;Československo;Drama / Krátkometrážní;Evald Schorm;Vlastimil Brodský, Dana Medřická;
71,10%;2540;st;Strop;1961;Československo;Drama;Věra Chytilová;Marta Pospíchalová, Julián Chytil;
89,90%;153;m;Sedm statečných;1960;USA;Western / Dobrodružný;John Sturges;Yul Brynner, Steve McQueen;
89,80%;161;m;Vyšší princip;1960;Československo;Drama / Válečný;Jiří Krejčík;František Smolík, Jana Brejchová;
88,30%;264;m;Hurvínek to zařídí;1960;Československo;Krátkometrážní / Loutkový;Oldřich Lipský;Miloš Kirschner;
87,90%;305;m;Psycho;1960;USA;Horor / Thriller;Alfred Hitchcock;Anthony Perkins, Vera Miles;
85,50%;655;st;Sousto;1960;Československo;Krátkometrážní / Drama;Jan Němec;Ivan Renč, Jan Bartůšek;
84,80%;860;s;Bugs Bunny a jeho přátelé;1960;USA;Animovaný / Rodinný;Robert McKimson, Friz Freleng;Mel Blanc, Daws Butler;
84,70%;903;m;Byt;1960;USA;Drama / Komedie;Billy Wilder;Jack Lemmon, Shirley MacLaine;Oscar
84,70%;904;m;Kdo seje vítr;1960;USA;Drama;Stanley Kramer;Spencer Tracy, Fredric March;
84,40%;1016;m;Díra;1960;Francie / Itálie;Krimi / Drama;Jacques Becker;Michel Constantin, Jean Keraudy;
84,30%;1054;m;Jak sluníčko vrátilo štěňátku vodu;1960;Československo;Animovaný / Krátkometrážní;Zdeněk Miler;Jiří Prager, Viola Zinková;
84,30%;1055;m;Jak štěňátko dostalo chuť na med;1960;Československo;Animovaný / Krátkometrážní;Zdeněk Miler;Jiří Prager, Alena Kreuzmannová;
83,70%;1253;m;Pramen panny;1960;Švédsko;Drama;Ingmar Bergman;Max von Sydow, Birgitta Valberg;
83,70%;1254;m;Jak štěňátko chtělo malé pejsky;1960;Československo;Animovaný / Krátkometrážní;Zdeněk Miler;Jiří Prager, Jiřina Šejbalová;
82,70%;1588;m;Horalka;1960;Itálie / Francie;Drama / Válečný;Vittorio De Sica;Sophia Loren, Jean-Paul Belmondo;
82,40%;1668;m;Rocco a jeho bratři;1960;Itálie / Francie;Drama;Luchino Visconti;Alain Delon, Renato Salvatori;
82,00%;1793;m;Půlnoční příhoda;1960;Československo;Animovaný / Loutkový;Břetislav Pojar, Jiří Trnka;;
81,90%;1818;m;Spartakus;1960;USA;Válečný / Historický;Stanley Kubrick;Kirk Douglas, Laurence Olivier;
80,70%;1971;m;Holubice;1960;Československo;Poetický / Drama;František Vláčil;Kateřina Irmanovová, Karel Smyczek;
77,60%;2249;m;Přežil jsem svou smrt;1960;Československo;Drama / Válečný;Vojtěch Jasný;František Peterka, Jiří Sovák;
76,90%;2304;st;Hlídač dynamitu;1960;Československo;Krátkometrážní / Drama;Zdenek Sirový;Eman Fiala, Eva Svobodová;
74,40%;2445;st;Stopy;1960;Československo;Krátkometrážní / Drama;Jaromil Jireš;Václav Lohniský, Věra Tichánková;
87,60%;339;m;Někdo to rád horké;1959;USA;Komedie / Krimi;Billy Wilder;Marilyn Monroe, Tony Curtis;
87,00%;410;m;Korunní svědek;1959;Velká Británie;Krimi;J. Lee Thompson;John Mills, Horst Buchholz;
85,70%;621;s;The Twilight Zone;1959;USA;Mysteriózní / Sci-Fi;John Brahm, Douglas Heyes;Rod Serling, Robert McCord;
85,40%;683;m;Marie-Octobre;1959;Francie;Drama / Mysteriózní;Julien Duvivier;Danielle Darrieux, Bernard Blier;
85,20%;740;m;Ben Hur;1959;USA;Dobrodružný / Drama;William Wyler;Charlton Heston, Jack Hawkins;Oscar
84,80%;861;m;Na sever Severozápadní linkou;1959;USA;Thriller / Mysteriózní;Alfred Hitchcock;Cary Grant, Eva Marie Saint;
84,30%;1056;m;Nikdo mě nemá rád;1959;Francie;Krimi / Drama;François Truffaut;Jean-Pierre Léaud, Claire Maurier;
83,50%;1314;m;Deník Anny Frankové;1959;USA;Drama / Válečný;George Stevens;Millie Perkins, Joseph Schildkraut;
82,90%;1511;m;Most;1959;Západní Německo;Drama / Válečný;Bernhard Wicki;Folker Bohnet, Fritz Wepper;
82,90%;1512;m;Sen noci svatojánské;1959;Československo;Animovaný / Loutkový;Jiří Trnka;Rudolf Pellar, Jack Gwillim;
