iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
82,90%;1477;s;1670;2023;Polsko;Komedie / Historický;Maciej Buchwald, Kordian Kądziela;Bartłomiej Topa, Katarzyna Herman;
82,60%;1592;m;Oppenheimer;2023;USA / Velká Británie;Drama / Historický;Christopher Nolan;Cillian Murphy, Matt Damon;Oscar
82,00%;1768;m;Mastičkář;2023;Polsko;Drama;Michał Gazda;Leszek Lichota, Maria Kowalska;
81,90%;1800;m;Guy Ritchie: Pouto;2023;Velká Británie / Španělsko;Akční / Drama;Guy Ritchie;Jake Gyllenhaal, Dar Salim;
81,80%;1825;s;One Piece;2023;USA;Akční / Dobrodružný;Marc Jobst, Tim Southam;Makkenjú Arata, Emily Rudd;
81,80%;1849;m;Příběh Syda Barretta a Pink Floyd;2023;Velká Británie;Dokumentární / Životopisný;Roddy Bogawa, Storm Thorgerson;Syd Barrett, Roddy Bogawa;
80,80%;1964;m;Milli Vanilli;2023;USA;Dokumentární / Životopisný;Luke Korem;Diane Warren, Timbaland;
79,40%;2081;m;Girl You Know It's True;2023;Německo;Životopisný / Drama;Simon Verhoeven;Tijan Njie, Elan Ben Ali;
79,20%;2093;st;O lýkožroutce;2023;Česko;Krátkometrážní / Animovaný;Eva Matejovičová;;
79,10%;2102;m;Tonda, Slávka a kouzelné světlo;2023;Česko / Slovensko;Animovaný / Rodinný;Filip Pošivač;Michael Polák, Antonie Barešová;
79,00%;2117;m;Wham!;2023;Velká Británie;Dokumentární / Hudební;Chris Smith;George Michael, Andrew Ridgeley;
78,80%;2129;m;Němá tajemství;2023;Česko;Krimi / Drama;Tomáš Mašín;Jana Plodková, Milena Steinmasslová;
78,40%;2166;m;#annaismissing;2023;Česko / Slovensko;Drama / Thriller;Pavel Soukup;Alexandra Vostrejžová, Viktorie Vítová;
78,20%;2187;m;Invalida;2023;Slovensko;Komedie;Jonáš Karásek;Gregor Hološka, Zdeněk Godla;
78,20%;2188;m;Tancuj Matyldo;2023;Česko;Komedie / Drama;Petr Slavík;Karel Roden, Regina Rázlová;
77,90%;2217;st;Buď někdo;2023;Polsko;Krátkometrážní;Michał Toczek;Sebastian Stankiewicz, Jowita Budnik;
77,50%;2252;m;Zbojník;2023;Česko;Dobrodružný / Drama;Leoš Kastner;Jakub Chromeček, Jakub Albrecht;
77,30%;2267;m;Electra;2023;Česko / Francie;Krátkometrážní / Animovaný;Daria Kashcheeva;Zuzana Částková, Marie Verner;
77,00%;2286;st;Za hranice;2023;Česko;Krátkometrážní / Sci-Fi;Dominik Zbořil;Kryštof Malec, Milo Kay Alexander Kennedy;
76,70%;2321;m;Jmenuju se Edgar a mám krávu;2023;Česko / Slovensko;Krátkometrážní / Animovaný;Filip Diviak;;
76,70%;2322;st;Úkryt;2023;Česko;Krátkometrážní / Mysteriózní;Martin Bystriansky;Dušan Cinkota, Leona;
76,20%;2351;m;Nekonečná hranice;2023;Německo / Írán;Drama / Thriller;Abbas Amini;Pourya Rahimi Sam, Minu Sharifi;
75,60%;2390;st;Poslední den Kamila Krofty;2023;Česko;Krátkometrážní;Filip Liška;Tomáš Turek;
74,60%;2432;m;Hranice;2023;Polsko / Česko;Drama;Agnieszka Holland;Jalal Altawil, Maja Ostaszewska;
72,10%;2514;m;Vysvětlení všeho;2023;Maďarsko / Slovensko;Drama;Gábor Reisz;Adonyi-Walsh Gáspár, István Znamenák;
71,90%;2520;m;Křížem krážem;2023;Slovensko / Česko;Krátkometrážní / Animovaný;Nina Rybárová, Tomáš Rybár;;
70,30%;2551;st;Atestace;2023;Česko;Krátkometrážní / Drama;Jan Hecht;Vladimír Pokorný, Jaroslav Dušek;
69,30%;2567;m;Bod obnovy;2023;Česko / Slovensko;Sci-Fi / Krimi;Robert Hloz;Andrea Mohylová, Matěj Hádek;
68,50%;2575;m;White Plastic Sky;2023;Maďarsko / Slovensko;Animovaný / Drama;Tibor Bánóczki, Sarolta Szabó;Tamás Keresztes, Zsófia Szamosi;
68,10%;2578;m;Bratři;2023;Česko / Slovensko;Dobrodružný / Historický;Tomáš Mašín;Oskar Hes, Jan Nedbal;Český lev
67,90%;2580;m;Úsvit;2023;Česko / Slovensko;Drama / Krimi;Matěj Chlupáček;Eliška Křenková, Miloslav König;
;2593;m;Anatomie pádu;2023;Francie;;Justine Triet;;Cannes
;2594;m;Všechno dobře dopadne;2023;Česko;Dokument;Miroslav Janek;;Český lev - doku
91,30%;89;s;Nabídka;2022;USA;Drama / Životopisný;Dexter Fletcher, Colin Bucksey;Miles Teller, Matthew Goode;
90,80%;108;m;Road of Naruto;2022;Japonsko;Animovaný / Akční;Jošifumi Sasahara, Masaharu Watanabe;Džunko Takeuči, Noriaki Sugijama;
90,50%;128;m;Dio: Dreamers Never Die;2022;USA;Dokumentární / Hudební;Don Argott, Demian Fenton;Ronnie James Dio, Rob Halford;
90,00%;138;s;Pantheon;2022;USA;Animovaný / Drama;Ed Tadem, Melchior Zwyer;Maude Apatow, Katie Chang;
88,70%;227;st;Tata Bojs: Noční kontakt;2022;Česko;Krátkometrážní / Hudební;Daniel Arthur Michalica, Prokop Steiner;Natália Maľová, Kateřina Laštovková;
88,20%;267;s;Písně lásky;2022;Japonsko;Drama / Romantický;Juri Kančiku;Hikari Micušima, Takeru Sató;
87,90%;298;s;Lakers: Vzestup dynastie;2022;USA;Komedie / Drama;Adam McKay, Tanya Hamilton;John C. Reilly, Quincy Isaiah;
87,70%;317;s;Devadesátky;2022;Česko;Krimi;Peter Bebjak;Martin Finger, Ondřej Sokol;
87,50%;340;s;Legenda jménem Vox Machina;2022;USA;Animovaný / Akční;Sung Jin Ahn, Alicia Chan;Matthew Mercer, Ashley Johnson;
87,00%;400;s;Křehký hrdina;2022;Jižní Korea;Akční / Drama;Su-min You;Ji-Hoon Park, Hyun-wook Choi;
86,70%;443;m;Třináct životů;2022;Velká Británie;Drama / Dobrodružný;Ron Howard;Viggo Mortensen, Colin Farrell;
86,40%;491;m;Top Gun: Maverick;2022;USA;Akční / Drama;Joseph Kosinski;Tom Cruise, Miles Teller;
86,20%;522;s;Odloučení;2022;USA;Drama / Thriller;Ben Stiller, Aoife McArdle;Adam Scott, Patricia Arquette;
86,20%;523;s;Chainsaw Man;2022;Japonsko;Animovaný / Akční;Rjú Nakajama, Tacuja Jošihara;Toja Kikunosuke, Tomori Kusunoki;
86,00%;556;s;Andor;2022;USA;Sci-Fi / Akční;Toby Haynes, Susanna White;Diego Luna, Genevieve O'Reilly;
85,70%;606;s;1923;2022;USA;Drama / Western;Ben Richardson, Guy Ferland;Harrison Ford, Helen Mirren;
85,70%;607;s;Alchymie duše;2022;Jižní Korea;Akční / Historický;Joon-hwa Park, Hyeon Jin Bae;Jae-wook Lee, So-min Jeong;
85,00%;774;s;Spy × Family;2022;Japonsko;Animovaný / Akční;Kazuhiro Furuhaši, Tacujuki Nagai;Takuja Eguči, Acumi Tanezaki;
84,80%;831;m;Kocour v botách: Poslední přání;2022;USA;Animovaný / Akční;Joel Crawford, Januel Mercado;Antonio Banderas, Salma Hayek;
84,80%;871;m;Moonage Daydream;2022;USA;Hudební / Dokumentární;Brett Morgen;David Bowie, Reeves Gabrels;
84,40%;994;s;Cyberpunk: Edgerunners;2022;Japonsko;Animovaný / Akční;Hirojuki Imaiši, Akira Amemija;KENN, Aoi Júki;
84,30%;1025;s;Zlé sestry;2022;USA / Belgie;Komedie / Drama;Rebecca Gatward, Josephine Bornebusch;Anne-Marie Duff, Claes Bang;
84,30%;1026;st;Selfmotion;2022;Česko / Slovensko;Krátkometrážní / Experimentální;Martin Bystriansky;Lucia Juklová, Veronika Prieložná;
84,10%;1100;s;Peacemaker;2022;USA;Akční / Komedie;James Gunn, Brad Anderson;John Cena, Steve Agee;
84,00%;1140;s;Medvěd;2022;USA;Komedie / Drama;Christopher Storer, Joanna Calo;Jeremy Allen White, Abby Elliott;
83,80%;1201;s;Volavka;2022;USA;Drama / Krimi;Michaël R. Roskam, Jim McKay;Taron Egerton, Ray Liotta;
83,80%;1202;s;Pistol;2022;USA;Drama / Hudební;Danny Boyle;Toby Wallace, Maisie Williams;
83,70%;1228;s;Tohle bude bolet;2022;Velká Británie;Komedie / Drama;Lucy Forbes, Tom Kingsley;Ben Whishaw, Michele Austin;
83,30%;1349;s;Pluk mizerů;2022;Velká Británie;Válečný / Drama;Tom Shankland, Stephen Woolfenden;Jack O'Connell, Connor Swindells;
83,20%;1376;s;Výjimečná právnička U Jong-u;2022;Jižní Korea;Drama;In-sik Yoo;Eun-bin Park, Tae-oh Kang;
83,10%;1403;s;Tokyo Vice;2022;USA;Krimi / Drama;Michael Mann, Destin Daniel Cretton;Ansel Elgort, Ken Watanabe;
83,00%;1439;s;Podezření;2022;Česko / Francie;Drama / Krimi;Michal Blaško;Klára Melíšková, Denisa Barešová;
82,80%;1523;s;Slow Horses;2022;Velká Británie;Drama / Krimi;Saul Metzstein, James Hawes;Gary Oldman, Jack Lowden;
82,50%;1619;s;Playlist;2022;Švédsko;Drama / Životopisný;Hallgrim Haug, Per-Olav Sørensen;Christian Hillborg, Gizem Erdogan;
82,10%;1765;m;Machine Gun Kelly: Můj růžový život;2022;USA;Dokumentární / Hudební;Sam Cahill;Machine Gun Kelly, Megan Fox;
81,90%;1801;s;Wednesday;2022;USA;Komedie / Mysteriózní;Tim Burton, Gandja Monteiro;Jenna Ortega, Catherine Zeta-Jones;
81,60%;1898;m;This Much I Know to Be True;2022;Velká Británie;Dokumentární / Hudební;Andrew Dominik;Nick Cave, Warren Ellis;
81,00%;1947;st;Deniska umřela;2022;Česko;Krátkometrážní / Animovaný;Philippe Kastner;;
79,30%;2083;m;Krásné bytosti;2022;Island / Dánsko;Drama;Guðmundur Arnar Guðmundsson;Birgir Dagur Bjarkason, Áskell Einar Pálmason;
79,00%;2106;m;Tmání;2022;Česko / Německo;VR film / Krátkometrážní;Ondřej Moravec;;
78,60%;2147;m;The Backrooms: Subject;2022;Česko;Krátkometrážní / Horor;Petr Esterka;Petr Esterka, Petr Purmenský;
78,40%;2177;m;Elvis;2022;USA / Austrálie;Životopisný / Drama;Baz Luhrmann;Austin Butler, Tom Hanks;
75,20%;2405;m;Poslední závod;2022;Česko;Drama / Životopisný;Tomáš Hodan;Kryštof Hádek, Oldřich Kaiser;
